title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Always Be My Maybe,2019,Romantic Comedies,"Ali Wong,Randall Park,James Saito",7374948,movie,year and actor match,6.8,42883
The Keepers,2017,Mystery Programmes,,6792200,tv mini series,year match,8.1,16952
MINDHUNTER,2017,Mystery Programmes,"Jonathan Groff,Holt McCallany,Anna Torv",5290382,tv series,year and actor match,8.6,196905
Secret City,2016,Award-winning TV Programmes,"Anna Torv,Jacki Weaver,Dan Wyllie",4976512,tv series,year and actor match,7.4,5724
Jamtara - Sabka Number Ayega,2020,Crime TV Dramas,"Amit Sial,Dibyendu Bhattacharya,Aksha Pardhasany",11150912,tv series,year and actor match,7.4,3614
Family Reunion,2019,Award-winning TV Programmes,"Loretta Devine,Tia Mowry-Hardrict,Anthony Alabi",9153270,tv series,year and actor match,6.4,1314
Morocco: Love in Times of War,2017,Medical TV Dramas,"Amaia Salamanca,Álex García,Alicia Borrachero",6740146,tv series,year and actor match,7.7,2229
Kakegurui,2017,Anime,"Saori Hayami,Minami Tanaka,Tatsuya Tokutake",7131720,tv series,year and actor match,7.2,3285
The Ghost Bride,2020,Mystery Programmes,"Huang Peijia,Wu Kang-jen,Ludi Lin",9690302,tv series,year and actor match,5.8,474
The Big Flower Fight,2020,Reality TV,"Natasia Demetriou,Vic Reeves,Kristen Griffith-Vanderyacht",12200714,tv series,year and actor match,7.5,648
Puerta 7,2020,Spanish-language TV Programmes,"Dolores Fonzi,Esteban Lamothe,Carlos Belloso",9170386,tv series,year and actor match,5.6,408
Wizards: Tales of Arcadia,2020,Kids' TV for ages 11 to 12,"Colin O'Donoghue,David Bradley,Lena Headey",7736558,tv series,year and actor match,8.4,759
Marcella,2016,Series,"Anna Friel,Ray Panthaki,Nicholas Pinnock",5269594,tv series,year and actor match,7.4,21522
The Big Family Cooking Showdown,2017,Reality TV,"Angellica Bell,Tommy Banks,Zoe Ball",7518558,tv series,year and actor match,7,478
Insatiable,2018,Comedy Programmes,"Dallas Roberts,Debby Ryan,Alyssa Milano",6487482,tv series,year and actor match,6.5,21211
Valeria,2020,Comedy Programmes,"Diana Gómez,Silma López,Paula Malia",9731288,tv series,year and actor match,6.2,1982
Droppin' Cash: Los Angeles,2018,Reality TV,,7983796,tv series,year match,3.5,94
Kevin Hart: Irresponsible,2019,Stand-up & Chat Shows,Kevin Hart,10009796,movie,year and actor match,6.5,3356
Killer Inside: The Mind of Aaron Hernandez,2020,True Crime Documentaries,Aaron Hernandez,11475228,tv mini series,year and title match,7.4,11330
The Indian Detective,2017,Canadian TV Programmes,"Russell Peters,Anupam Kher,Christina Cole",5797220,tv mini series,year and actor match,6.5,2609
GAME ON: A Comedy Crossover Event,2020,Kids' TV for ages 8 to 10,"Loretta Devine,Tia Mowry-Hardrict,Anthony Alabi",12800428,tv series,year and actor match,6.9,55
Lilyhammer,2012,Crime TV Dramas,"Steven Van Zandt,Trond Fausa,Steinar Sagen",1958961,tv series,year and actor match,8,25419
